06-06 23:54:24.392  1612 21259 V FA-SVC  :         name: ga_event_origin(_o)
06-06 23:54:24.392  1612 21259 V FA-SVC  :         string_value: app
06-06 23:54:24.392  1612 21259 V FA-SVC  :       }
06-06 23:54:24.392  1612 21259 V FA-SVC  :       param {
06-06 23:54:24.392  1612 21259 V FA-SVC  :         name: _r
06-06 23:54:24.392  1612 21259 V FA-SVC  :         int_value: 1
06-06 23:54:24.392  1612 21259 V FA-SVC  :       }
06-06 23:54:24.392  1612 21259 V FA-SVC  :       param {
06-06 23:54:24.392  1612 21259 V FA-SVC  :         name: ga_screen_class(_sc)
06-06 23:54:24.392  1612 21259 V FA-SVC  :         string_value: MainActivity
06-06 23:54:24.392  1612 21259 V FA-SVC  :       }
06-06 23:54:24.392  1612 21259 V FA-SVC  :       param {
06-06 23:54:24.392  1612 21259 V FA-SVC  :         name: ga_screen_id(_si)
06-06 23:54:24.392  1612 21259 V FA-SVC  :         int_value: 2288007157000225042
06-06 23:54:24.392  1612 21259 V FA-SVC  :       }
06-06 23:54:24.392  1612 21259 V FA-SVC  :       param {
06-06 23:54:24.392  1612 21259 V FA-SVC  :         name: _dbg
06-06 23:54:24.392  1612 21259 V FA-SVC  :         int_value: 1
06-06 23:54:24.392  1612 21259 V FA-SVC  :       }
06-06 23:54:24.392  1612 21259 V FA-SVC  :     }
06-06 23:54:24.392  1612 21259 V FA-SVC  :   }
06-06 23:54:24.392  1612 21259 V FA-SVC  : } // End-of-batch
06-06 23:54:24.392  1612 21259 V FA-SVC  : Uploading bundle with GmsCore network library. app: com.izzes.nearsdelivery
06-06 23:54:24.398  1612 21259 V FA-SVC  : Not stopping services. fetch, network, upload: false, true, false
06-06 23:54:25.139  1612 21390 V FA-SVC  : Gms url request successful. app: com.izzes.nearsdelivery, GOOGLE_ANALYTICS
06-06 23:54:25.147  1612 21259 V FA-SVC  : Network upload successful with code, uploadAttempted: 204, true
06-06 23:54:25.154  1612 21259 V FA-SVC  : Upload scheduled in approximately ms: 3599993
06-06 23:54:25.154  1612 21259 V FA-SVC  : Scheduling upload, millis: 3599993
06-06 23:54:25.154  1612 21259 V FA-SVC  : Successful upload. Got network response. code, size: 204, 0
06-06 23:54:25.174  1612 21259 V FA-SVC  : Nothing to upload or uploading impossible
06-06 23:54:25.174  1612 21259 V FA-SVC  : Unscheduling upload
06-06 23:54:25.177  1612 21259 V FA-SVC  : Stopping uploading service(s)
06-06 23:54:25.671 21308 21328 V FA      : Logging screen view with name, class: /splash?data=null, MainActivity
06-06 23:54:25.764 21308 21345 V FA      : Logging telemetry for logEvent from database
06-06 23:54:25.764  1612 21259 V FA-SVC  : Populate EES config from database on cache miss. appId: com.izzes.nearsdelivery
06-06 23:54:25.765  1612 21259 V FA-SVC  : Parsed config. version, gmp_app_id: 1780654523761815, 1:1033648887925:android:b7f5d4c6c9f68fa7cf003c
06-06 23:54:25.766  1612 21259 V FA-SVC  : EES not loaded for: com.izzes.nearsdelivery
06-06 23:54:25.767 21308 21345 V FA      : Recording user engagement, ms: 4090
06-06 23:54:25.768  1612 21259 V FA-SVC  : Logging event: origin=app,name=screen_view(_vs),params=Bundle[{ga_event_origin(_o)=app, engagement_time_msec(_et)=4090, ga_previous_class(_pc)=MainActivity, ga_previous_id(_pi)=2288007157000225042, ga_screen_class(_sc)=MainActivity, ga_screen_id(_si)=2288007157000225043, ga_screen(_sn)=/splash?data=null}]
06-06 23:54:25.774  1612 21259 V FA-SVC  : Upload scheduled in approximately ms: 373
06-06 23:54:25.774  1612 21259 V FA-SVC  : Scheduling upload, millis: 373
06-06 23:54:25.774  1612 21259 V FA-SVC  : Background event processing time, ms: 7
06-06 23:54:26.158  1612 21259 V FA-SVC  : Unscheduling upload
06-06 23:54:26.173  1612 21259 V FA-SVC  : Starting upload from DelayedRunnable
06-06 23:54:26.176  1612 21259 V FA-SVC  : Updated engagement user property. scope, value: lifetime, 8894
06-06 23:54:26.176  1612 21259 V FA-SVC  : Setting user property: non_personalized_ads(_npa), 0
06-06 23:54:26.179  1612 21259 V FA-SVC  : Saving bundle, size: 573
06-06 23:54:26.253  1612 21259 D FA-SVC  : Uploading events. Elapsed time since last upload attempt (ms): 1027
06-06 23:54:26.256  1612 21259 V FA-SVC  : Uploading data. app, uncompressed size, data: com.izzes.nearsdelivery, 635, 
06-06 23:54:26.256  1612 21259 V FA-SVC  : batch {
